Aleppo International Airport,알레포 국제 공항,ALP,OSAP,중동아프리카,Syria,시리아,Aleppo
Alegrete Airport,알레그레테 공항,ALQ,SSLT,중남미,Brazil,브라질,Alegrete
Alexandra Aerodrome,알렉산드라 비행장,ALR,NZLX,아시아태평양,New Zealand,뉴질랜드,Alexandra
San Luis Valley Regional Airport,샌루이스밸리 공항,ALS,KALS,북미캐나다,United States,미국,Alamosa
Walla Walla Regional Airport,왈라왈라 공항,ALW,KALW,북미캐나다,United States,미국,Walla Walla
El Nouzha Airport,엘 누자 공항,ALY,HEAX,중동아프리카,Egypt,이집트,Alexandria
Alitak Seaplane Base,알리탁 수상비행기 기지,ALZ,,북미캐나다,United States,미국,Lazy Bay
Rick Husband Amarillo International Airport,릭 허드슨 애머릴로 국제 공항,AMA,KAMA,북미캐나다,United States,미국,Amarillo
Sardar Vallabhbhai Patel International Airport,사르다르 발라바이 파텔 국제공항,AMD,VAAH,아시아태평양,India,인도,Ahmedabad
Arba Minch Airport,아르바 민치 공항,AMH,HAAM,중동아프리카,Ethiopia,이디오피아,Arba Minch
Selaparang Airport,셀라파랑 공항,AMI,WADA,아시아태평양,Indonesia,인도네시아,Mataram
Queen Alia International Airport,퀸 알리아 국제 공항,AMM,OJAI,중동아프리카,Jordan,요르단,Amman
Pattimura Airport,파티무라 공항,AMQ,WAPP,아시아태평양,Indonesia,인도네시아,Ambon
Amsterdam AirportSchiphol,암스테르담 스키폴 공항,AMS,EHAM,유럽,Netherlands,네덜란드,Amsterdam
Amderma Airport,암데르마 공항,AMV,ULDD,유럽,Russia,러시아,Amderma
Ambatomainty Airport,암바토마인티 공항,AMY,,중동아프리카,Madagascar,마다가스카르,Ambatomainty
Angama Mara Airport,앙가마 마라 공항,ANA,,중동아프리카,Kenya,케냐,Angama Mara
Ted Stevens Anchorage International Airport,테드 스티븐스 앵커리지 국제 공항,ANC,PANC,북미캐나다,United States,미국,Anchorage
Angers Loire Airport,앙제 루아르 공항,ANE,LFJR,유럽,France,프랑스,Angers
Cerro Moreno International Airport,세로 모레노 국제 공항,ANF,SCFA,중남미,Chile,칠레,Antofagasta
Angouleme Cognac International Airport,앙굴렘 코냑 국제공항,ANG,LFBU,유럽,France,프랑스,Angouleme
Aniak Airport,아니악 공항,ANI,PANI,북미캐나다,United States,미국,Aniak
Etimesgut Air Base,에타임스구트 공군기지,ANK,LTAD,유럽,Turkey,터키,Ankara
Antsirabato Airport,안시라바토 공항,ANM,FMNH,중동아프리카,Madagascar,마다가스카르,Antalaha
Antwerp International Airport,앤트워프 국제 공항,ANR,EBAW,유럽,Belgium,벨기에,Antwerp
Andahuaylas Airport,안다와일라스 공항,ANS,SPHY,중남미,PerU,페루,Andahuaylas
V. C. Bird International Airport,V. C. 버드 국제공항,ANU,TAPA,중남미,Antigua and Barbuda,앤티가 바부다,Antigua
Anvik Airport,안빅 공항,ANV,PANV,북미캐나다,United States,미국,Anvik
Andoya Airport Andenes,안도야 공항,ANX,ENAN,유럽,Norway,노르웨이,Andenes
Leipzig Altenburg Airport,라이프치히 알텐부르크 공항,AOC,EDAC,유럽,Germany,독일,Altenburg
Anadolu Airport,아나돌루 공항,AOE,LTBY,유럽,Turkey,터키,EskiSehir
Anshan Teng'ao Airport,안산 텅아오 공항,AOG,ZYAS,아시아태평양,China,중국,Anshan
Ancona Falconara Airport,안코나 팔코나라 공항,AOI,LIPY,유럽,Italy,이탈리아,Ancona
Aomori Airport,아오모리 공항,AOJ,RJSA,아시아태평양,Japan,일본,Aomori
Karpathos Island National Airport,카르파토스 아일랜드 내셔널 공항,AOK,LGKP,유럽,Greece,그리스,Karpathos
Altoona Blair County Airport,앨투나 블레어 카운티 공항,AOO,KAOO,북미캐나다,United States,미국,Altoona
Sultan Abdul Halim Airport,술탄 압둘 할림 공항,AOR,WMKA,아시아태평양,Malaysia,말레이시아,Alor Setar
Amook Bay Seaplane Base ,아묵 베이 수상비행기 기지,AOS,,북미캐나다,United States,미국,Amook Bay
Aosta Valley Airport,아오스타 밸리 공항,AOT,LIMW,유럽,Italy,이탈리아,Aosta
Attapeu International Airport,아타푸 국제공항,AOU,VLAP,아시아태평양,Laos,라오스,Attapeu
Centennial Airport,센테니얼 공항,APA,KAPA,북미캐나다,United States,미국,Denver
Apolo Airport,아폴로 공항,APB,SLAP,중남미,Bolivia,볼리비아,Apolo
Napa County Airport,나파 카운티 공항,APC,KAPC,북미캐나다,United States,미국,Napa
Naples Municipal Airport,나폴리 공항,APF,KAPF,북미캐나다,United States,미국,Naples
Apataki Airport,아파타키 공항,APK,NTGD,아시아태평양,French Polynesia,프랑스령 폴리네시아,Apataki
Nampula Airport,남풀라 공항,APL,FQNP,중동아프리카,Mozambique,모잠비크,Nampula
Alpena County Regional Airport,앨피너 카운티 공항,APN,KAPN,북미캐나다,United States,미국,Alpena
Antonio Roldan Betancourt Airport,안토니오 롤단 베탕쿠르 공항,APO,SKLC,중남미,Colombia,콜롬비아,Apartado
Faleolo International Airport,팔레올로 국제 공항,APW,NSFA,아시아태평양,Samoa,사모아,Apia
Arapongas Airport,아라퐁가스 공항,APX,SSOG,중남미,Brazil,브라질,Arapongas
Araraquara Airport,아라라콰라 공항,AQA,SBAQ,중남미,Brazil,브라질,Araraquara
Anqing Tianzhushan Airport,안칭 티안주산 공항,AQG,ZSAQ,아시아태평양,China,중국,Anqing
Al Qaisumah/Hafr Al Batin Airport,알 카이수마/하프르 알 바틴 공항,AQI,OEPA,중동아프리카,Saudi Arabia,사우디아라비아,Qaisumah-Hafar al-Batin
King Hussein International Airport,킹 후세인 국제공항,AQJ,OJAQ,중동아프리카,Jordan,요르단,Aqaba
RodrIguez Ballon International Airport,로드리게스 발론 국제공항,AQP,SPQU,중남미,PerU,페루,Arequipa
Acadiana Regional Airport,아카디아나 지역공항,ARA,KARA,북미캐나다,United States,미국,New Iberia
Arctic Village Airport,북극 마을 공항,ARC,PARC,북미캐나다,United States,미국,Arctic Village
Alor Island Airport,알로르 아일랜드 공항,ARD,WATM,아시아태평양,Indonesia,인도네시아,Alor Island
Talagi Airport,탈라기 공항,ARH,ULAA,유럽,Russia,러시아,Arkhangelsk
Chacalluta International Airport,차칼루타 국제공항,ARI,SCAR,중남미,Chile,칠레,Arica
Arusha Airport,아루샤 공항,ARK,HTAR,중동아프리카,Tanzania,탄자니아,Arusha
Armidale Airport,아미데일 공항,ARM,YARM,대양주,Australia,오스트레일리아,Armidale
Stockholm Arlanda Airport,스톡홀름 알란다 공항,ARN,ESSA,유럽,Sweden,스웨덴,Stockholm
Alto RIo Senguer Airport,알토 리오 셍구에르 공항,ARR,SAVR,중남미,Argentina,아르헨티나,Alto RIo Senguer
Watertown International Airport,워터타운 국제공항,ART,KART,북미캐나다,United States,미국,Watertown
Aracatuba Airport,아라사투바 공항,ARU,SBAU,중남미,Brazil,브라질,Aracatuba
Lakeland Airport,레이크랜드 공항,ARV,KARV,북미캐나다,United States,미국,Minocqua-Woodruff
Arad International Airport,아라드 국제공항,ARW,LRAR,유럽,Romania,루마니아,Arad
Aracati Airport,아라카티 공항,ARX,,중남미,Brazil,브라질,Aracati
Assab International Airport,아사브 국제공항,ASA,HHSB,중동아프리카,Eritrea,에리트레아,Assab
Ashgabat International Airport,아시가바트 국제공항,ASB,UTAA,아시아태평양,Turkmenistan,투르크메니스탄,Ashgabat
Andros Town International Airport,안드로스 타운 국제공항,ASD,MYAF,중남미,Bahamas,바하마,Andros Town
Aspen Pitkin County Airport,아스펜 핏킨 카운티 공항,ASE,KASE,북미캐나다,United States,미국,Aspen
Narimanovo Airport,나리마노보 공항,ASF,URWA,유럽,Russia,러시아,Astrakhan
RAF Ascension Island ,어센션 섬 공항,ASI,FHAW,유럽,Saint Helena,세인트헬레나,Ascension Island
Amami Airport,아마미 공항,ASJ,RJKA,아시아태평양,Japan,일본,Amami
Asmara International Airport,아스마라 국제공항,ASM,HHAS,중동아프리카,Eritrea,에리트레아,Asmara
Asosa Airport,아소사 공항,ASO,HASO,중동아프리카,Ethiopia,이디오피아,Asosa
Alice Springs Airport,앨리스 스프링스 공항,ASP,YBAS,대양주,Australia,오스트레일리아,Alice Springs
Erkilet International Airport,에르킬레트 국제공항,ASR,LTAU,유럽,Turkey,터키,Kayseri
Astoria Regional Airport,아스토리아 지역공항,AST,KAST,북미캐나다,United States,미국,Astoria
Silvio Pettirossi International Airport,실비오 페티로시 국제공항,ASU,SGAS,중남미,Paraguay,파라과이,Asuncion
Amboseli Airport,암보셀리 공항,ASV,HKAM,중동아프리카,Kenya,케냐,Amboseli
Aswan International Airport,아스완 국제공항,ASW,HESN,중동아프리카,Egypt,이집트,Aswan
Comandante FAP German Arias Graziani Airport,코만단테 FAP 게르만 아리아스 그라지아니 공항,ATA,SPHZ,중남미,PerU,페루,Huaraz
Arthur's Town Airport,아서스 타운 공항,ATC,MYCA,중남미,Bahamas,바하마,Arthur's Town
Uru Harbour Airport,우루 항구 공항,ATD,AGAT,아시아태평양,Solomon Islands,솔로몬 제도,Atoifi
Athens International Airport,아테네 국제공항,ATH,LGAV,유럽,Greece,그리스,Athens
Antsirabe Airport,안트시라베 공항,ATJ,FMME,중동아프리카,Madagascar,마다가스카르,Antsirabe
Atqasuk Edward Burnell Sr. Memorial Airport,앳가숙 에드워드 버넬 시니어 메모리얼 공항,ATK,PATQ,북미캐나다,United States,미국,Atqasuk
HartsFieldJackson Atlanta International Airport,하츠필드 잭슨 애틀랜타 국제공항,ATL,KATL,북미캐나다,United States,미국,Atlanta
Altamira Airport,알타미라 공항,ATM,SBHT,중남미,Brazil,브라질,Altamira
Sri Guru Ram Dass Jee International Airport,스리 구루 람 다스 지 국제공항,ATQ,VIAR,아시아태평양,India,인도,Amritsar
Atmautluak Airport,아트마우틀루악 공항,ATT,,북미캐나다,United States,미국,Atmautluak
Appleton International Airport,애플턴 국제공항,ATW,KATW,북미캐나다,United States,미국,Appleton
Watertown Regional Airport,워터타운 지역공항,ATY,KATY,북미캐나다,United States,미국,Watertown
Assiut Airport,아시우트 공항,ATZ,HEAT,중동아프리카,Egypt,이집트,Assiut
Queen Beatrix International Airport,퀸 베아트릭스 국제공항,AUA,TNCA,중남미,Aruba,아루바,Aruba
Santiago Perez Quiroz Airport,산티아고 페레즈 키로스 공항,AUC,SKUC,중남미,Colombia,콜롬비아,Arauca
Augusta State Airport,오거스타 주립공항,AUG,KAUG,북미캐나다,United States,미국,Augusta
Abu Dhabi International Airport,아부다비 국제공항,AUH,OMAA,중동아프리카,United Arab Emirates,아랍에미레이트,Abu Dhabi
Alakanuk Airport,알라카누크 공항,AUK,PAUK,북미캐나다,United States,미국,Alakanuk
Aur Airport,아우르 공항,AUL,,아시아태평양,Marshall Islands,마샬 군도,Aur Atoll
Auburn University Regional Airport,오번대학교 지역공항,AUO,KAUO,북미캐나다,United States,미국,Auburn
Atuona Airport,아투오나 공항,AUQ,NTMN,아시아태평양,French Polynesia,프랑스령 폴리네시아,Atuona
Aurillac Tronquieres Airport,오리락 공항,AUR,LFLW,유럽,France,프랑스,Aurillac
Austin Bergstrom International Airport,오스틴 버그스트롬 국제공항,AUS,KAUS,북미캐나다,United States,미국,Austin
Aurukun Airport,오루쿤 공항,AUU,YAUR,대양주,Australia,오스트레일리아,Aurukun
AraguaIna Airport,아라과이나 공항,AUX,SWGN,중남미,Brazil,브라질,AraguaIna
Anatom Airport,아톰공항,AUY,NVVA,아시아태평양,Vanuatu,바누아투,Anatom Island
Anshun Huangguoshu Airport,안순 황궈슈 공항,AVA,ZUAS,아시아태평양,China,중국,Anshun
Asheville Regional Airport,애슈빌 공항,AVL,KAVL,북미캐나다,United States,미국,Asheville
Avignon Provence Airport,아비뇽 프로방스 공항,AVN,LFMV,유럽,France,프랑스,Avignon
Wilkes Barre/Scranton International Airport,윌크스배러/스크랜턴 국제공항,AVP,KAVP,북미캐나다,United States,미국,Pittston Township
Avalon Airport,아발론 공항,AVV,YMAV,대양주,Australia,오스트레일리아,Melbourne
Awasa Airport,아와사 공항,AWA,HALA,중동아프리카,Ethiopia,이디오피아,Awasa
Aniwa Airport,아니와 공항,AWD,NVVB,아시아태평양,Vanuatu,바누아투,Aniwa Island
Ahvaz International Airport,아바즈 국제 공항,AWZ,OIAW,중동아프리카,Iran,이란,Ahvaz
Clayton J. Lloyd International Airport,클레이튼 J. 로이드 국제 공항,AXA,TQPF,중남미,Anguilla,앵귈라,The Valley
Alexandroupoli Airport,알렉산드로폴리 공항,AXD,LGAL,유럽,Greece,그리스,Alexandroupoli
Alxa Left Banner Bayanhot Airport,바얀호트 공항,AXF,,아시아태평양,China,중국,Alxa Left Banner
Amakusa Airfield,아마쿠사 비행장,AXJ,RJDA,아시아태평양,Japan,일본,Amakusa
Ataq Airport,아타크 공항,AXK,OYAT,중동아프리카,Yemen,예멘,Ataq
El Eden International Airport,엘 에덴 국제 공항,AXM,SKAR,중남미,Colombia,콜롬비아,Armenia
Spring Point Airport,스프링 포인트 공항,AXP,MYAP,중남미,Bahamas,바하마,Spring Point
Arutua Airport,아루투아 공항,AXR,NTGU,아시아태평양,French Polynesia,프랑스령 폴리네시아,Arutua
Akita Airport,아키타 공항,AXT,RJSK,아시아태평양,Japan,일본,Akita
Axum Airport,악숨 공항,AXU,HAAX,중동아프리카,Ethiopia,이디오피아,Axum
Anyang Airport,안양공항,AYN,ZHAY,아시아태평양,China,중국,Anyang
Coronel FAP Alfredo MendIvil Duarte Airport,야나밀라 공항,AYP,SPHO,중남미,PerU,페루,Ayacucho
Ayers Rock Airport,에어즈락 공항,AYQ,YAYE,대양주,Australia,오스트레일리아,Yulara
Antalya Airport,안탈리아 공항,AYT,LTAI,유럽,Turkey,터키,Antalya
Phoenix Mesa Gateway Airport,피닉스메사 게이트웨이 공항,AZA,KIWA,북미캐나다,United States,미국,Phoenix
Shahid Sadooghi Airport,사히드 사두히 공항,AZD,OIYY,중동아프리카,Iran,이란,Yazd
Al Bateen Executive Airport,알 바틴 이그제큐티브 공항,AZI,OMAD,중동아프리카,United Arab Emirates,아랍에미레이트,Abu Dhabi
Andizhan Airport,안디잔 공항,AZN,UTKA,아시아태평양,Uzbekistan,우즈베키스탄,Andizhan
Kalamazoo/Battle Creek International Airport,캘러머주/배틀크릭 국제공항,AZO,KAZO,북미캐나다,United States,미국,Kalamazoo
Touat Cheikh Sidi Mohamed Belkebir Airport,투앗 체이크 시디 모하메드 벨케비르 공항,AZR,DAUA,중동아프리카,Algeria,알제리,Adrar
Samana El Catey International Airport,사마나 엘 카테이 국제 공항,AZS,MDCY,중남미,Dominican Republic,도미니카공화국,El Catey
Barksdale Air Force Base,바크스데일 공군기지,BAD,KBAD,북미캐나다,United States,미국,Bossier City
WestField Barnes Regional Airport,웨스트필드 반스 공항,BAF,KBAF,북미캐나다,United States,미국,Westfield-Springfield
Loakan Airport,로아칸 공항,BAG,RPUB,아시아태평양,Philippines,필리핀,Baguio
Bahrain International Airport,바레인 국제 공항,BAH,OBBI,중동아프리카,Bahrain,바레인,Manama
Buenos Aires Airport,부에노스 아이레스 공항,BAI,MRBA,중남미,Costa Rica,코스타리카,Buenos Aires
Batman Airport,배트맨 공항,BAL,LTCJ,유럽,Turkey,터키,Batman
Ernesto Cortissoz International Airport,에르네스토 코르티소스 국제 공항,BAQ,SKBQ,중남미,Colombia,콜롬비아,Barranquilla
Qionghai Bo'ao Airport,칭하이 보아오 공항,BAR,,아시아태평양,China,중국,Qionghai
Balalae Airport,발랄래 공항,BAS,AGGE,아시아태평양,Solomon Islands,솔로몬 제도,Balalae Island
Chafei Amsei Airport,차페이 암세이 공항,BAT,SNBA,중남미,Brazil,브라질,Barretos
Baotou Airport,바우터우 공항,BAV,ZBOW,아시아태평양,China,중국,Baotou
Barnaul Airport,바르나울 공항,BAX,UNBB,유럽,Russia,러시아,Barnaul
Baia Mare Airport,바이아 마레 공항,BAY,LRBM,유럽,Romania,루마니아,Baia Mare
Barcelos Airport,바르셀로스 공항,BAZ,SWBC,중남미,Brazil,브라질,Barcelos
Balmaceda Airport,발마세다 공항,BBA,SCBA,중남미,Chile,칠레,Balmaceda
Butaritari Atoll Airport,부타리타리 환초 공항,BBG,NGTU,아시아태평양,Kiribati,키리바시,Butaritari Atoll
Biju Patnaik International Airport,비주 파트나이크 국제공항,BBI,VEBS,아시아태평양,India,인도,Bhubaneswar
Kasane Airport,카사네 공항,BBK,FBKE,중동아프리카,Botswana,보츠와나,Kasane
Ballera Airport,발레라 공항,BBL,YLLE,대양주,Australia,오스트레일리아,Ballera gas plant
Bario Airport,바리오 공항,BBN,WBGZ,아시아태평양,Malaysia,말레이시아,Bario
Berbera Airport,베르베라 공항,BBO,HCMI,중동아프리카,Somalia,소말리아,Berbera
Barbuda Codrington Airport,바부다 코드링턴 공항,BBQ,TAPH,중남미,Antigua and Barbuda,앤티가 바부다,Barbuda
Blackbushe Airport,블랙부셰 공항,BBS,EGLK,유럽,United Kingdom,영국,Yateley
Aurel Vlaicu International Airport,아우렐 블라이쿠 국제공항,BBU,LRBS,유럽,Romania,루마니아,Bucharest
Gustavo Rizo Airport,구스타보 리조 공항,BCA,MUBA,중남미,Cuba,쿠바,Baracoa
Bacolod Silay International Airport,바콜로드 실라이 국제공항,BCD,RPVB,아시아태평양,Philippines,필리핀,Bacolod
Barcaldine Airport,바르칼딘 공항,BCI,YBAR,대양주,Australia,오스트레일리아,Barcaldine
Bacau International Airport,바커우 국제공항,BCM,LRBC,유럽,Romania,루마니아,Bacau
Barcelona El Prat Airport,바르셀로나 엘프라트 공항,BCN,LEBL,유럽,Spain,스페인,Barcelona
Baco Airport,바코 공항,BCO,HABC,중동아프리카,Ethiopia,이디오피아,Jinka
Brak Airport,브락 공항,BCQ,,중동아프리카,Libya,리비아,Brak
Boca Raton Airport,보카 레이턴 공항,BCT,KBCT,북미캐나다,United States,미국,Boca Raton
Bauchi State Airport,바우치 주립 공항,BCU,DNBC,중동아프리카,Nigeria,나이지리아,Bauchi
Hector Silva Airstrip,헥터 실바 활주로,BCV,,중남미,Belize,벨리즈,Belmopan
L.F. Wade International Airport,L. F. 웨이드 국제공항,BDA,TXKF,중남미,Bermuda,버뮤다,Hamilton
Bundaberg Airport,번더버그 공항,BDB,YBUD,대양주,Australia,오스트레일리아,Bundaberg
Badu Island Airport,바두 아일랜드 공항,BDD,YBAU,대양주,Australia,오스트레일리아,Badu Island
